1 minute time series of wind speed from a met tower
timestamp	Un1	Uw1	Uz1
5/19/12 12:19 PM	-10.01	-1.049	-0.656
5/19/12 12:19 PM	-9.96	-0.867	-0.607
5/19/12 12:19 PM	-10.03	-1.009	-0.618
5/19/12 12:19 PM	-10.02	-1.139	-0.944
5/19/12 12:19 PM	-10.26	-1.261	-0.712
5/19/12 12:19 PM	-10.03	-1.338	-0.777
5/19/12 12:19 PM	-10.18	-1.629	-0.646
5/19/12 12:19 PM	-10.43	-1.161	-0.635
5/19/12 12:19 PM	-10.63	-1.311	-0.759
5/19/12 12:19 PM	-10.87	-1.404	-0.316
5/19/12 12:19 PM	-10.87	-1.532	-0.385
5/19/12 12:19 PM	-10.69	-1.335	-0.758
5/19/12 12:19 PM	-10.58	-1.514	-0.331
5/19/12 12:19 PM	-10.66	-1.326	-0.26
5/19/12 12:19 PM	-10.73	-1.301	-0.165
5/19/12 12:19 PM	-10.45	-1.3	-0.001
5/19/12 12:19 PM	-10.39	-1.237	-0.083
5/19/12 12:19 PM	-10.52	-1.415	-0.05
5/19/12 12:19 PM	-10.6	-1.495	0.003
5/19/12 12:19 PM	-10.8	-1.378	0.067
5/19/12 12:19 PM	-10.58	-1.291	0.025
5/19/12 12:19 PM	-10.77	-1.206	-0.173
5/19/12 12:19 PM	-10.9	-1.508	-0.521
5/19/12 12:19 PM	-10.58	-1.989	-0.865
5/19/12 12:19 PM	-10.59	-1.908	-0.884
5/19/12 12:19 PM	-10.34	-1.683	-0.571
5/19/12 12:19 PM	-10.26	-1.464	-0.751
5/19/12 12:19 PM	-10.46	-1.602	-1.071
5/19/12 12:19 PM	-10.44	-1.771	-1.294
5/19/12 12:19 PM	-10.64	-1.56	-1.012
5/19/12 12:19 PM	-10.43	-1.581	-1.318
5/19/12 12:19 PM	-10.35	-1.476	-1.085
5/19/12 12:19 PM	-10.24	-1.777	-1.237
5/19/12 12:19 PM	-10.53	-1.574	-0.873
5/19/12 12:19 PM	-10.54	-1.537	-0.654
5/19/12 12:19 PM	-10.86	-1.39	-0.181
5/19/12 12:19 PM	-10.74	-1.433	-0.21
5/19/12 12:19 PM	-10.36	-1.173	-0.427
5/19/12 12:19 PM	-10.35	-1.366	-0.245
5/19/12 12:19 PM	-10.45	-1.338	-0.267
5/19/12 12:19 PM	-10.38	-1.255	-0.266
5/19/12 12:19 PM	-10.41	-1.361	-0.356
5/19/12 12:19 PM	-10.66	-1.247	-0.232
5/19/12 12:19 PM	-10.48	-1.542	-0.238
5/19/12 12:19 PM	-10.57	-1.609	-0.406
5/19/12 12:19 PM	-10.76	-1.515	-0.308
5/19/12 12:19 PM	-10.58	-1.466	-0.317
5/19/12 12:19 PM	-11.04	-1.378	-0.146
5/19/12 12:19 PM	-11.14	-0.936	0.01
5/19/12 12:19 PM	-11.07	-1.209	-0.087
5/19/12 12:19 PM	-11.15	-0.79	0.125
5/19/12 12:19 PM	-10.68	-0.809	0.026
5/19/12 12:19 PM	-10.98	-1.408	0.099
5/19/12 12:19 PM	-11.11	-0.995	0.017
5/19/12 12:19 PM	-11.17	-0.923	0.068
5/19/12 12:19 PM	-11.06	-0.716	0.207
5/19/12 12:19 PM	-10.96	-0.654	0.38
5/19/12 12:19 PM	-11.04	-0.518	0.374
5/19/12 12:19 PM	-10.96	-0.529	0.427
5/19/12 12:19 PM	-10.95	-0.171	0.417
5/19/12 12:19 PM	-10.9	0.023	0.368
5/19/12 12:19 PM	-11.04	-0.192	0.193
5/19/12 12:19 PM	-11.2	-0.817	0.468
5/19/12 12:19 PM	-10.63	-1.066	0.503
5/19/12 12:19 PM	-11.04	-0.877	0.191
5/19/12 12:19 PM	-10.85	-0.914	0.257
5/19/12 12:19 PM	-10.88	-0.875	0.406
5/19/12 12:19 PM	-10.89	-1.163	0.49
5/19/12 12:19 PM	-10.88	-1.413	0.394
5/19/12 12:19 PM	-10.92	-1.305	0.32
